material_id,formula,transition_metal,energy_above_hull,volume,density,band_gap,is_stable,is_metal
mp-999203,ScC,Sc,0.6000326553571433,53.36486415077127,3.545227233512585,0.0,False,True
mp-999205,ScC,Sc,0.5788383903571432,62.13740239012464,3.0447132069054974,0.0,False,True
mp-1009751,ScC,Sc,0.9216356703571442,33.38590729544195,2.8333896698659315,0.0,False,True
mp-1009748,ScC,Sc,0.8398146103571431,23.86491216628023,3.9637809764774516,0.0,False,True
mp-1219333,ScC2,Sc,0.5693214522222227,27.126497589012853,4.222422045796161,0.0,False,True
mp-10020,ScC,Sc,0.3081149153571445,25.720312328199388,3.6778435519343957,0.0,False,True
mp-16296,Sc2C3,Sc,0.11261375116666628,228.54337759155234,3.660308314316633,0.0,False,True
mp-29941,Sc2C,Sc,0.0,54.34970048490819,3.114025129760054,0.0,True,True
mp-28733,Sc3C4,Sc,0.0,850.1978247658136,3.572463752524423,0.0,True,True
mp-15661,Sc4C3,Sc,0.0,187.74561495263885,3.8183251618992027,0.32870000000000044,True,False
mp-15957,Sc15C19,Sc,0.0017390710924392039,829.0018150749254,3.615688631501873,0.0,False,True
mp-1208199,TiC3,Ti,1.7758993862499999,49.89350006067001,2.7923022683880054,0.0,False,True
mp-1217054,TiC2,Ti,0.7268282408333295,30.422781667867053,3.923819264963281,0.0,False,True
mp-631,TiC,Ti,0.0,20.315907256971823,4.894158008766744,0.0,True,True
mp-1217106,Ti2C,Ti,0.013833493333331504,39.583223325567616,4.519952363341272,0.0,False,True
mp-10721,Ti2C,Ti,0.0,160.40451985832723,4.461577117080882,0.0,True,True
mp-1094034,Ti3C2,Ti,0.05092875733333457,123.11648094774307,4.521629303948006,0.0,False,True
mp-1187454,Ti3C,Ti,0.8560120947916658,50.94231224564432,5.072390632467846,0.0,False,True
mp-1217090,Ti8C5,Ti,0.028104624615385987,161.1599417328724,4.564418204435803,0.0,False,True
mp-27919,Ti8C5,Ti,0.0,160.89014492087287,4.572072280953635,0.0,True,True
mp-1008632,V2C,V,0.0018388041666668187,32.38831893393224,5.839294683359234,0.0,False,True
mp-1094023,V2C,V,0.3020393041666676,69.69386191522426,5.427305457226797,0.0,False,True
mp-1238834,VC,V,0.22451155993055494,36.34260310604665,5.752729779396194,0.0,False,True
mp-1282,VC,V,0.08810940243055576,18.02309334022026,5.800035854066551,0.0,False,True
mp-20648,V2C,V,0.0,130.07509514040711,5.815869313021263,0.0,True,True
mp-1216509,V3C2,V,0.14251277270833285,208.46232818641116,5.634773988818223,0.0,False,True
mp-1067129,VC3,V,2.50339239746528,30.967870565801174,4.663641965880327,0.0,False,True
mp-1178822,VC3,V,0.8865321484027788,280.6388398870431,4.116979982464313,0.0,False,True
mp-1216471,V4C3,V,0.08764150708333318,69.5302638982621,5.726917911392218,0.0,False,True
mp-1216474,V4C3,V,0.11964678851190413,69.49281681642286,5.7300039334235455,0.0,False,True
mp-28731,V6C5,V,0.0,321.4882712806797,5.666738196382318,0.0,True,True
mp-542730,V8C7,V,0.007177742759258976,579.0249436813262,5.63935956755553,0.0,False,True
mp-1018050,CrC,Cr,0.08030430958333135,16.63621507480692,6.388820509870823,0.0,False,True
mp-579,CrC,Cr,0.2547637645833323,17.332623263116375,6.132123825867927,0.0,False,True
mp-1226378,Cr2C,Cr,0.06254013708333694,29.04607059540132,6.631786799709743,0.0,False,True
mp-1189286,Cr3C,Cr,0.012876365752312324,153.10486373878803,7.2883093646310115,0.0,False,True
mp-20937,Cr3C2,Cr,0.0,172.77345974935122,6.920348531961163,0.0,True,True
mp-570112,Cr3C2,Cr,0.03457126400000199,88.29308172827773,6.770930038538572,0.0,False,True
mp-1196316,Cr7C3,Cr,0.0,753.1417541635182,7.055496200905817,0.0,True,True
mp-19855,Cr7C3,Cr,0.0005932423750003579,369.0081911396367,7.20009597731863,0.0,False,True
mp-723,Cr23C6,Cr,0.0,288.3076403147121,7.303036413970673,0.0,True,True
mp-1188188,Mn3C,Mn,0.016571311684781875,146.92153425911712,7.994050657134678,0.0,False,True
mp-1193506,Mn6C,Mn,0.14346954575943904,288.72841164368225,7.859356187650763,0.0,False,True
mp-22749,Mn5C2,Mn,0.017722750652174213,128.87673805832551,7.6976238090165845,0.0,False,True
mp-21256,Mn7C3,Mn,0.014997985989129603,355.48977225851394,7.858680107684596,0.0,False,True
mp-542830,Mn23C6,Mn,0.0,289.0920935190553,7.671884432058087,0.0,True,True
mp-1070333,Fe4C,Fe,0.2790330850000018,45.8174585917438,8.531146550342749,0.0,False,True
mp-1078579,Fe4C,Fe,0.13300199600000084,99.24947323123828,7.876625257239165,0.0,False,True
mp-1102779,Fe2C,Fe,0.17959086583333317,105.73550641690476,7.770704550005795,0.0,False,True
mp-1182630,Fe3C,Fe,0.2775626943749998,165.84560574288287,7.190848335621557,0.0,False,True
mp-1188724,Fe3C,Fe,4.327040171875,3476.5150670327484,0.34303622306582815,0.1593,False,False
mp-1205436,Fe3C,Fe,0.1606895156250001,149.2654907064194,7.989593524815109,0.0,False,True
mp-1205444,Fe3C,Fe,0.16057240499999992,152.37950606173197,7.82631883281748,0.0,False,True
mp-1246,Fe4C,Fe,0.5157662070000004,56.691565903069964,6.89477257479071,0.0,False,True
mp-1871,Fe2C,Fe,0.06014737499999967,56.98248224257454,7.209578702743136,0.0,False,True
mp-13154,Fe3C,Fe,0.056359594999999985,81.27918251844231,7.336261026959536,0.0,False,True
mp-510623,Fe3C,Fe,0.05671033062500008,152.23931894937346,7.833525571819871,0.0,False,True
mp-568503,Fe2C,Fe,1.1430112283333331,31.307151578910272,6.5611157465096355,0.0,False,True
mp-613523,Fe3C,Fe,0.12433581375000102,165.51421076671423,7.205245957443737,0.0,False,True
mp-2794,Fe5C2,Fe,0.05985946571428613,129.3317147748143,7.786991699384816,0.0,False,True
mp-645339,Fe5C2,Fe,0.061937716071428284,259.5730785270698,7.759702933242799,0.0,False,True
mp-18257,Fe7C3,Fe,0.08109436999999886,181.36254712960977,7.818178021126245,0.0,False,True
mp-21717,Fe7C3,Fe,0.06518426425000001,364.34224719862164,7.783476611490539,0.0,False,True
mp-1192884,Fe23C6,Fe,0.05325810068965531,284.9250954560707,7.905656449647533,0.0,False,True
mp-20925,Co3C,Co,0.1309572518750013,146.64262128903374,8.552134491334707,0.0,False,True
mp-22488,Co2C,Co,0.10909176916666574,54.91628650140615,7.8543541758642705,0.0,False,True
mp-1009582,NiC,Ni,1.0904641412499991,16.816624210313563,6.981598620180938,0.0,False,True
mp-7586,Ni3C,Ni,0.08418333624999974,76.65093953126872,8.149470570570449,0.0,False,True
mp-1210339,NiC4,Ni,1.721863023500001,374.48300510300265,1.8931660743248795,0.0,False,True
mp-1213653,CuC6,Cu,1.3321778521428556,123.11768665393306,1.829030753940512,0.0,False,True
mp-1207473,ZnC2,Zn,1.1256620625,269.1524435965257,2.206967488978206,2.7077999999999998,False,False
mp-971857,Zn3C,Zn,1.040288750624999,50.94103424299999,6.787982254591899,0.0,False,True
mp-981336,Zn3C,Zn,1.0459741081249998,51.189169006917766,6.755078138215375,0.0,False,True
mp-998893,YC,Y,0.36059480750000006,33.040977478027344,5.07175897223557,0.0,False,True
mp-998896,YC,Y,0.8888981075000002,30.09320315040729,5.568562214466377,0.0,False,True
mp-998894,YC,Y,0.8105841975000008,40.80289316097236,4.106960585233784,0.0,False,True
mp-1207665,YC,Y,4.2924090050000006,937.611277191937,0.3574527697181577,0.17799999999999994,False,False
mp-313,YC2,Y,0.06871589937499856,41.74409624369693,4.492134875216283,0.0,False,True
mp-1334,Y2C,Y,0.0,69.42956412506689,4.53996097092531,0.0,True,True
mp-1695,Y2C3,Y,0.044295184659999265,279.738044525066,5.077550107983201,0.0,False,True
mp-1200613,Y3C4,Y,0.0,1049.5112051760482,4.98014557580887,0.0,True,True
mp-1200885,Y4C7,Y,0.0,635.8327029033887,4.593259845577001,0.6088278273033119,True,False
mp-9459,Y4C5,Y,0.0,289.2591488388468,4.772521355112645,0.0,True,True
mp-9530,Y4C7,Y,0.004164988636363276,318.3160886701153,4.587491689396689,0.0,False,True
mp-1201082,Y15C19,Y,0.01534358108823497,1043.598619297119,4.970138917510826,0.0,False,True
mp-1009878,ZrC,Zr,1.219416865000003,25.276755348307837,6.7819326593162454,0.0,False,True
mp-1009894,ZrC,Zr,0.6132527400000001,33.28290496338164,5.150549593157213,0.48009999999999975,False,False
mp-1014307,ZrC,Zr,0.1685184349999993,52.6948586482434,6.506336937444277,0.0,False,True
mp-2795,ZrC,Zr,0.0,26.16949786121813,6.550574777068193,0.0,True,True
mp-1188023,Zr3C,Zr,1.1510861962499987,139.83471663383907,6.784971516147129,0.0,False,True
mp-684623,Zr10C9,Zr,0.0,524.9291523862418,6.455378909268918,0.0,True,True
mp-999388,NbC,Nb,0.16856049187499877,53.40835549212311,6.5240320070405335,0.0,False,True
mp-999377,NbC,Nb,0.4101651818750014,48.09444856216397,7.244865698452506,0.0,False,True
mp-1009459,NbC,Nb,0.9588706068750028,22.10365204752759,7.881906119513513,0.0,False,True
mp-1009458,NbC,Nb,0.5930299368749985,28.714539925201027,6.067271521355758,0.0,False,True
mp-1094093,NbC,Nb,0.14565651437499838,45.708443761603895,7.623051497690798,0.0,False,True
mp-910,NbC,Nb,0.02983855666667168,22.904351953249126,7.606367152085744,0.0,False,True
mp-2318,Nb2C,Nb,0.01014245666666369,42.88362598897033,7.6601168045682835,0.0,False,True
mp-569989,Nb2C,Nb,0.0,171.13372737768208,7.678055965063316,0.0,True,True
mp-1220501,Nb4C3,Nb,0.08841718142856791,88.74974829886482,7.627417741776306,0.0,False,True
mp-1220515,Nb4C3,Nb,0.056068902857145275,88.92508156674369,7.612378789271785,0.0,False,True
mp-15660,Nb4C3,Nb,0.16663083142857005,89.36054697704742,7.575282690769734,0.0,False,True
mp-2760,Nb6C5,Nb,0.0,136.6127150490126,7.505664645191197,0.0,True,True
mp-32679,Nb10C7,Nb,0.047951619999999195,224.60289218793136,7.490359439259337,0.0,False,True
mp-1173628,Nb39C34,Nb,0.08800169854452022,883.0390525622873,7.581563126502355,0.0,False,True
