feature,importance
MagpieData mean SpaceGroupNumber,0.05993204626285643
MagpieData avg_dev NValence,0.05347989550771425
MagpieData mean CovalentRadius,0.04776505758124415
MagpieData avg_dev MeltingT,0.042298582286910455
MagpieData mean NdValence,0.04030456157668451
MagpieData avg_dev CovalentRadius,0.04002711137236162
MagpieData avg_dev MendeleevNumber,0.038426076192432525
MagpieData mean MeltingT,0.03590332344158984
MagpieData mean GSvolume_pa,0.03454980863246973
MagpieData avg_dev NdValence,0.0337301398338662
MagpieData mean Electronegativity,0.03276330927711591
MagpieData avg_dev NUnfilled,0.0298113658590657
MagpieData avg_dev Column,0.029759848373108543
MagpieData avg_dev GSvolume_pa,0.029265356245520277
MagpieData avg_dev SpaceGroupNumber,0.028326931635155126
MagpieData avg_dev Electronegativity,0.026882194053782903
MagpieData avg_dev NdUnfilled,0.02583932144888566
MagpieData mean Number,0.02293717609295512
MagpieData mean MendeleevNumber,0.020669825567799026
MagpieData avg_dev GSmagmom,0.020638271712553988
MagpieData avg_dev Number,0.01996211643548032
MagpieData avg_dev AtomicWeight,0.019049424576668417
MagpieData mean Column,0.017264681974609744
MagpieData mean NpUnfilled,0.016616048150479856
MagpieData mean NpValence,0.015126127467471455
MagpieData mean GSmagmom,0.014271544931779562
MagpieData range SpaceGroupNumber,0.013203668609393341
MagpieData minimum Electronegativity,0.012940430070564992
MagpieData mean NUnfilled,0.01258857844982506
MagpieData mean Row,0.011925124526992294
MagpieData maximum GSvolume_pa,0.01140942326953545
MagpieData maximum SpaceGroupNumber,0.011339871219591529
MagpieData mean NdUnfilled,0.011122208944347385
MagpieData mean NValence,0.010544263034986791
MagpieData mean AtomicWeight,0.010323133263277598
MagpieData range MeltingT,0.010178009893234924
MagpieData avg_dev Row,0.009295528624488989
MagpieData maximum MeltingT,0.008189103836929827
MagpieData range Electronegativity,0.007764026304125434
MagpieData avg_dev NpValence,0.007376619309951901
MagpieData avg_dev NpUnfilled,0.006779697034158596
MagpieData minimum MendeleevNumber,0.005664706597165713
MagpieData range CovalentRadius,0.005155106330300383
MagpieData maximum CovalentRadius,0.004747492500292555
MagpieData maximum Number,0.0034803166758621312
MagpieData range GSvolume_pa,0.003456268305153106
MagpieData mean NsValence,0.002986424607764942
MagpieData avg_dev NfValence,0.0024619498820747316
MagpieData mode NpValence,0.0023795298503935824
MagpieData mode Electronegativity,0.002147403151110238
MagpieData range AtomicWeight,0.0021001266238215334
MagpieData mode Column,0.0018108413892110528
MagpieData range NValence,0.0014919485961651536
MagpieData maximum AtomicWeight,0.0014247747879793113
MagpieData mean NsUnfilled,0.0013934566679620853
MagpieData range NUnfilled,0.001320614605088476
MagpieData range MendeleevNumber,0.00116935901907459
MagpieData minimum Column,0.001131834437781777
MagpieData mode MendeleevNumber,0.0009750792504887776
MagpieData avg_dev NsUnfilled,0.0007330990797754676
MagpieData avg_dev NsValence,0.0005968685858889704
MagpieData maximum GSmagmom,0.0005951890881269824
MagpieData maximum NUnfilled,0.0005110477977798007
MagpieData range Column,0.0004570257406416893
MagpieData range Number,0.00028783564985458227
MagpieData mode NUnfilled,0.00025231138937148836
MagpieData mode NpUnfilled,0.00017305912695318382
MagpieData maximum NValence,0.00013877408753210787
MagpieData mode NValence,9.63434260923365e-05
MagpieData mode NdValence,6.631185015465011e-05
MagpieData maximum NsUnfilled,5.3092867302396255e-05
MagpieData range NdUnfilled,4.824245523631837e-05
MagpieData range Row,3.169757043041119e-05
MagpieData maximum NdUnfilled,2.9532158502501696e-05
MagpieData mode AtomicWeight,1.6331001537053315e-05
MagpieData range NfValence,1.2152416641844406e-05
MagpieData mean NfValence,1.1283658710952187e-05
MagpieData range GSmagmom,9.173919955221617e-06
MagpieData maximum NdValence,1.9460687832190747e-06
MagpieData maximum Row,1.1648206605220535e-06
MagpieData range NdValence,4.510804127343886e-07
