feature,importance
MagpieData avg_dev MendeleevNumber,0.04701069889497319
MagpieData mean Number,0.04090004177249546
MagpieData mean AtomicWeight,0.037565938791404116
MagpieData avg_dev NdValence,0.034145650810844634
MagpieData avg_dev Column,0.030012415817880552
MagpieData avg_dev Row,0.028656248755744317
MagpieData maximum Number,0.02587988028472853
MagpieData mean NUnfilled,0.025717959668536808
MagpieData avg_dev Number,0.024815632540003248
MagpieData avg_dev NsValence,0.023729864564706837
MagpieData mean Electronegativity,0.023525688760588387
MagpieData avg_dev Electronegativity,0.022010989869183248
MagpieData maximum GSvolume_pa,0.021753269490256882
MagpieData avg_dev GSvolume_pa,0.020951451093988868
MagpieData mean Row,0.020146912034020668
MagpieData avg_dev AtomicWeight,0.018754930176474494
MagpieData avg_dev NpValence,0.017650475327593677
MagpieData mean NdUnfilled,0.017433669752257623
MagpieData mean Column,0.017057232773548866
MagpieData mean GSvolume_pa,0.016823589782820093
MagpieData avg_dev SpaceGroupNumber,0.016789185388230078
MagpieData range MendeleevNumber,0.01656611072911029
MagpieData range AtomicWeight,0.01599079449668664
MagpieData mean MeltingT,0.015435320477922171
MagpieData mean MendeleevNumber,0.01518823411777693
MagpieData mean NdValence,0.014936595512585733
MagpieData avg_dev NUnfilled,0.014458784931479975
MagpieData range Number,0.014289154202868254
MagpieData avg_dev NdUnfilled,0.01421855571593029
MagpieData mean NpUnfilled,0.013906013091620538
MagpieData mean NsValence,0.01383504787334686
MagpieData avg_dev CovalentRadius,0.013409542006231418
MagpieData avg_dev NValence,0.01227717097171001
MagpieData mode MendeleevNumber,0.012157550916610114
MagpieData range NdUnfilled,0.011946979929740933
MagpieData range Row,0.011687536841607433
MagpieData minimum Electronegativity,0.01114691128533488
MagpieData mean NValence,0.010887264957114449
MagpieData mean CovalentRadius,0.010627346598133665
MagpieData mean NsUnfilled,0.010595206093157585
MagpieData avg_dev NsUnfilled,0.00995442893431152
MagpieData maximum NdValence,0.009846618561901553
MagpieData mean SpaceGroupNumber,0.009799419491012283
MagpieData minimum NUnfilled,0.009658341753660583
MagpieData avg_dev MeltingT,0.009062478220681324
MagpieData range Column,0.00904022056712689
MagpieData maximum AtomicWeight,0.008860382184689245
MagpieData maximum NValence,0.007787545993326494
MagpieData mode NValence,0.007632988350200776
MagpieData maximum CovalentRadius,0.007608452104985532
MagpieData mean NpValence,0.007265784176924638
MagpieData maximum NsUnfilled,0.0071268514569181015
MagpieData minimum Column,0.006805114266042594
MagpieData range NdValence,0.006664671993359612
MagpieData range NUnfilled,0.0065717347875970345
MagpieData range GSvolume_pa,0.006300111760336175
MagpieData maximum MeltingT,0.0060949308388003045
MagpieData minimum MendeleevNumber,0.005617928829414312
MagpieData range GSmagmom,0.005260761504685112
MagpieData mode Electronegativity,0.004930796834282011
MagpieData range MeltingT,0.00489976772619018
MagpieData range Electronegativity,0.004727664433564668
MagpieData range NValence,0.004385890702367279
MagpieData range SpaceGroupNumber,0.0041965693291972925
MagpieData range CovalentRadius,0.004111628011702731
MagpieData maximum Row,0.004110373895303238
MagpieData mean NfValence,0.003929906038278526
MagpieData maximum SpaceGroupNumber,0.0034175931348227155
MagpieData maximum GSmagmom,0.0032915020614577473
MagpieData mode Column,0.0029012812637007846
MagpieData mean GSmagmom,0.002594759151240103
MagpieData avg_dev GSmagmom,0.0024990117071254283
MagpieData maximum NUnfilled,0.0023919457780280946
MagpieData mode NpValence,0.0018304711765733956
MagpieData avg_dev NpUnfilled,0.0017014257515287367
MagpieData mode SpaceGroupNumber,0.0016789606090312067
MagpieData avg_dev NfValence,0.0016393998622282774
MagpieData minimum NsValence,0.001341307826377866
MagpieData maximum NdUnfilled,0.001341107464732558
MagpieData range NsUnfilled,0.00134079323266006
MagpieData mode NUnfilled,0.0011610164224936936
MagpieData mode MeltingT,0.001053865784555482
MagpieData mode GSvolume_pa,0.0009367978022759525
MagpieData mode NpUnfilled,0.0008940093409855387
MagpieData minimum NValence,0.0004416467892407966
MagpieData mode Row,0.0002571651717825715
MagpieData range NfValence,0.00010086527074588446
MagpieData maximum NfValence,4.1864552304344916e-05
MagpieData range NsValence,9.343683236447231e-19
MagpieData mode NdUnfilled,3.1665386081798667e-19
MagpieData avg_dev GSbandgap,0.0
MagpieData minimum GSvolume_pa,0.0
MagpieData mean GSbandgap,0.0
MagpieData mode NfUnfilled,0.0
MagpieData minimum GSmagmom,0.0
MagpieData range GSbandgap,0.0
MagpieData maximum GSbandgap,0.0
MagpieData mode GSmagmom,0.0
MagpieData minimum GSbandgap,0.0
MagpieData minimum SpaceGroupNumber,0.0
MagpieData mode GSbandgap,0.0
MagpieData minimum Number,0.0
MagpieData avg_dev NfUnfilled,0.0
MagpieData mean NfUnfilled,0.0
MagpieData mode Number,0.0
MagpieData maximum MendeleevNumber,0.0
MagpieData minimum AtomicWeight,0.0
MagpieData mode AtomicWeight,0.0
MagpieData minimum MeltingT,0.0
MagpieData maximum Column,0.0
MagpieData minimum Row,0.0
MagpieData minimum CovalentRadius,0.0
MagpieData mode CovalentRadius,0.0
MagpieData maximum Electronegativity,0.0
MagpieData maximum NsValence,0.0
MagpieData mode NsValence,0.0
MagpieData minimum NpValence,0.0
MagpieData maximum NpValence,0.0
MagpieData range NpValence,0.0
MagpieData minimum NdValence,0.0
MagpieData mode NdValence,0.0
MagpieData mode NfValence,0.0
MagpieData minimum NsUnfilled,0.0
MagpieData mode NsUnfilled,0.0
MagpieData minimum NpUnfilled,0.0
MagpieData maximum NpUnfilled,0.0
MagpieData range NpUnfilled,0.0
MagpieData minimum NdUnfilled,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData maximum NfUnfilled,0.0
MagpieData range NfUnfilled,0.0
MagpieData minimum NfValence,0.0
