Feature,Importance
MagpieData mean MeltingT,0.11183443598031963
MagpieData mean SpaceGroupNumber,0.09724360841868095
MagpieData mean MendeleevNumber,0.07816387301719098
max packing efficiency,0.061436976645228326
MagpieData mean Electronegativity,0.05490839259844628
avg_dev CN_VoronoiNN,0.052269456301636756
mean CN_VoronoiNN,0.048362273621958655
MagpieData avg_dev MeltingT,0.048046699081195854
minimum CN_VoronoiNN,0.029947014843824882
MagpieData mean CovalentRadius,0.028618736264733793
maximum CN_VoronoiNN,0.023772568116590877
MagpieData mean NpUnfilled,0.023052494400382602
MagpieData avg_dev Number,0.021962416406056503
MagpieData avg_dev AtomicWeight,0.02028130548089877
MagpieData mean Column,0.018552150909896967
MagpieData mean Row,0.01714100149252405
MagpieData mean GSvolume_pa,0.016566808765064427
MagpieData avg_dev SpaceGroupNumber,0.015613038245718145
range CN_VoronoiNN,0.015116719787253808
MagpieData avg_dev NValence,0.013179071324930632
MagpieData avg_dev GSvolume_pa,0.01254693641595871
MagpieData mean NValence,0.012300234508308491
MagpieData mean NdValence,0.01174032785974862
MagpieData avg_dev Row,0.01158199122516105
MagpieData mean AtomicWeight,0.010544551345973393
MagpieData mode MeltingT,0.010355723823985924
MagpieData avg_dev Electronegativity,0.01021102376253571
MagpieData avg_dev CovalentRadius,0.010067734424795284
MagpieData mode SpaceGroupNumber,0.008458801396320126
MagpieData mean Number,0.00818547818719767
MagpieData mean NpValence,0.008086611833782814
MagpieData avg_dev NfValence,0.006902285057472155
MagpieData avg_dev NdValence,0.0061848216670783475
MagpieData range MeltingT,0.006142961794681604
MagpieData maximum MeltingT,0.004684859673645729
MagpieData avg_dev NdUnfilled,0.004548474253015046
MagpieData avg_dev NUnfilled,0.004545289316056436
MagpieData avg_dev MendeleevNumber,0.0044697715873025946
MagpieData mean NdUnfilled,0.004300891266196367
MagpieData avg_dev Column,0.004252593636255244
MagpieData avg_dev NpUnfilled,0.004085662423853413
MagpieData avg_dev GSmagmom,0.003729934247101317
MagpieData range Electronegativity,0.003682174189417449
MagpieData mean GSmagmom,0.0036198672487860765
MagpieData avg_dev NpValence,0.0028549078485126085
MagpieData mean NUnfilled,0.002852416611777927
MagpieData range SpaceGroupNumber,0.0026844301966179904
MagpieData range GSvolume_pa,0.0026363798708331264
MagpieData maximum GSvolume_pa,0.0023953615080939982
MagpieData maximum SpaceGroupNumber,0.0021008744329068406
MagpieData minimum Electronegativity,0.0020898918424539182
MagpieData mean NfValence,0.0011297576915294868
MagpieData range NValence,0.0009190525627316453
MagpieData range MendeleevNumber,0.0008161527553906641
MagpieData maximum NValence,0.0007324676341488629
MagpieData mean NsValence,0.0007295433953407577
MagpieData maximum Number,0.000670156882156331
MagpieData range AtomicWeight,0.0006487431445522119
MagpieData maximum CovalentRadius,0.000622494582059846
MagpieData maximum AtomicWeight,0.0005926571126779869
MagpieData maximum NdUnfilled,0.000436537509789806
MagpieData range NdUnfilled,0.0004136930450637993
MagpieData minimum MendeleevNumber,0.00039847098608919695
MagpieData avg_dev NsUnfilled,0.00039760531595394626
MagpieData range CovalentRadius,0.00034063279976683815
MagpieData avg_dev NsValence,0.00030399480279188064
MagpieData mean NsUnfilled,0.00024833646338071085
MagpieData range NdValence,0.00024198988084177115
MagpieData mode NdValence,0.0002270264236808506
MagpieData range Number,0.00018059811474107883
MagpieData range Column,0.00017416470983562076
MagpieData maximum GSmagmom,0.000165819086883413
MagpieData minimum Column,0.00011314514819900323
MagpieData mode NValence,8.974861343713424e-05
MagpieData mode MendeleevNumber,8.623362118601495e-05
MagpieData mode Number,6.707497522677824e-05
MagpieData maximum NdValence,6.63975419881505e-05
MagpieData mode Electronegativity,5.532946566240361e-05
MagpieData range GSmagmom,5.397867742211662e-05
MagpieData mode Column,3.011348206771491e-05
MagpieData range NsValence,2.4327865756318326e-05
MagpieData minimum NUnfilled,2.2664320196235234e-05
MagpieData range NUnfilled,1.546542686486639e-05
MagpieData minimum NValence,1.4888638351564198e-05
MagpieData mode AtomicWeight,1.1299813314241153e-05
MagpieData mode GSvolume_pa,1.1141180316593929e-05
MagpieData maximum NsUnfilled,1.0959448994192635e-05
MagpieData mode CovalentRadius,6.544679680377255e-06
MagpieData mode NUnfilled,5.908335632012316e-06
MagpieData mode Row,5.335290800324238e-06
MagpieData mode NsValence,3.4072548390696292e-06
MagpieData range Row,2.3942825693644388e-06
MagpieData mode NpUnfilled,1.4418797299876344e-06
MagpieData maximum Column,0.0
MagpieData minimum Row,0.0
MagpieData mode GSmagmom,0.0
MagpieData minimum MeltingT,0.0
MagpieData minimum GSvolume_pa,0.0
MagpieData minimum AtomicWeight,0.0
MagpieData minimum GSbandgap,0.0
MagpieData minimum GSmagmom,0.0
MagpieData minimum SpaceGroupNumber,0.0
MagpieData maximum GSbandgap,0.0
MagpieData range GSbandgap,0.0
MagpieData mean GSbandgap,0.0
MagpieData mode GSbandgap,0.0
MagpieData maximum MendeleevNumber,0.0
MagpieData avg_dev GSbandgap,0.0
MagpieData mode NdUnfilled,0.0
MagpieData maximum Row,0.0
MagpieData minimum NsUnfilled,0.0
MagpieData minimum NpValence,0.0
MagpieData maximum NpValence,0.0
MagpieData range NpValence,0.0
MagpieData mode NpValence,0.0
MagpieData minimum NdValence,0.0
MagpieData maximum NsValence,0.0
MagpieData minimum NsValence,0.0
MagpieData minimum NfValence,0.0
MagpieData maximum NfValence,0.0
MagpieData range NfValence,0.0
MagpieData mode NfValence,0.0
MagpieData maximum Electronegativity,0.0
MagpieData range NsUnfilled,0.0
MagpieData maximum NUnfilled,0.0
MagpieData mode NsUnfilled,0.0
MagpieData minimum NpUnfilled,0.0
MagpieData maximum NpUnfilled,0.0
