material_id,formula,transition_metal,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,energy_above_hull,volume,density,band_gap,is_stable,is_metal
mp-1179108,ScO2,Sc,8.0,21.0,13.0,12.333333333333334,5.777777777777779,8.0,11.0,87.0,76.0,61.666666666666664,33.77777777777778,87.0,15.9994,44.955912,28.956511999999996,25.651570666666668,12.86956088888889,15.9994,54.8,1814.0,1759.2,641.1999999999999,781.8666666666668,54.8,3.0,16.0,13.0,11.666666666666666,5.777777777777779,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,170.0,104.0,100.66666666666667,46.22222222222223,66.0,1.36,3.44,2.08,2.7466666666666666,0.9244444444444445,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.0,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.333333333333333,3.1111111111111107,2.0,9.105,22.235,13.129999999999999,13.481666666666667,5.835555555555556,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,2.1166666666666666e-06,2.8222222222222227e-06,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,0.3282124756249995,77.52587645258822,3.2966104134697733,0.0,False,True
mp-1186987,ScO3,Sc,8.0,21.0,13.0,11.25,4.875,8.0,11.0,87.0,76.0,68.0,28.5,87.0,15.9994,44.955912,28.956511999999996,23.238528,10.858691999999998,15.9994,54.8,1814.0,1759.2,494.6,659.7,54.8,3.0,16.0,13.0,12.75,4.875,16.0,2.0,4.0,2.0,2.5,0.75,2.0,66.0,170.0,104.0,92.0,39.0,66.0,1.36,3.44,2.08,2.92,0.78,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.5,4.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.25,1.125,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.75,2.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.75,2.625,2.0,9.105,22.235,13.129999999999999,12.3875,4.923749999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.5875e-06,2.3812500000000003e-06,0.0,12.0,194.0,182.0,57.5,68.25,12.0,0.6929377642187493,75.20180971737405,4.105059045064566,0.0,False,True
mp-644481,ScO,Sc,8.0,21.0,13.0,14.5,6.5,8.0,11.0,87.0,76.0,49.0,38.0,11.0,15.9994,44.955912,28.956511999999996,30.477656,14.478255999999998,15.9994,54.8,1814.0,1759.2,934.4,879.6,54.8,3.0,16.0,13.0,9.5,6.5,3.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,170.0,104.0,118.0,52.0,66.0,1.36,3.44,2.08,2.4,1.04,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,5.5,3.5,2.0,9.105,22.235,13.129999999999999,15.67,6.5649999999999995,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,3.175e-06,3.175e-06,0.0,12.0,194.0,182.0,103.0,91.0,12.0,0.0667874656249978,22.13149871993696,4.573512093106743,0.0,False,True
mp-775837,Sc2O3,Sc,8.0,21.0,13.0,13.2,6.24,8.0,11.0,87.0,76.0,56.6,36.48,87.0,15.9994,44.955912,28.956511999999996,27.5820048,13.899125759999999,15.9994,54.8,1814.0,1759.2,758.48,844.4159999999999,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,170.0,104.0,107.6,49.92,66.0,1.36,3.44,2.08,2.608,0.9983999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,9.105,22.235,13.129999999999999,14.357,6.3024,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,2.5400000000000002e-06,3.048e-06,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,0.0817799807499994,506.4636807329368,3.6173173565581105,4.1645,False,False
mp-759946,Sc16O15,Sc,8.0,21.0,13.0,14.709677419354838,6.493236212278877,21.0,11.0,87.0,76.0,47.774193548387096,37.960457856399586,11.0,15.9994,44.955912,28.956511999999996,30.94469651612903,14.463190176899062,44.955912,54.8,1814.0,1759.2,962.7741935483871,878.684703433923,1814.0,3.0,16.0,13.0,9.290322580645162,6.493236212278877,3.0,2.0,4.0,2.0,3.032258064516129,0.9989594172736733,4.0,66.0,170.0,104.0,119.6774193548387,51.945889698231014,170.0,1.36,3.44,2.08,2.3664516129032256,1.0389177939646201,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,1.935483870967742,1.9979188345473466,0.0,0.0,1.0,1.0,0.5161290322580645,0.49947970863683666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.451612903225806,1.4984391259105099,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.967741935483871,0.9989594172736733,0.0,0.0,9.0,9.0,4.645161290322581,4.4953173777315305,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,5.612903225806452,3.4963579604578565,9.0,9.105,22.235,13.129999999999999,15.881774193548388,6.558168574401664,22.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,3.27741935483871e-06,3.1716961498439124e-06,6.35e-06,12.0,194.0,182.0,105.93548387096774,90.90530697190427,194.0,0.054016009798385,361.0991519056618,4.4113401966233585,0.0,False,True
mp-684697,Sc20O19,Sc,8.0,21.0,13.0,14.666666666666666,6.495726495726496,21.0,11.0,87.0,76.0,48.02564102564103,37.9750164365549,11.0,15.9994,44.955912,28.956511999999996,30.848893333333333,14.468737094017092,44.955912,54.8,1814.0,1759.2,956.953846153846,879.0216962524655,1814.0,3.0,16.0,13.0,9.333333333333334,6.495726495726496,3.0,2.0,4.0,2.0,3.0256410256410255,0.9993425378040763,4.0,66.0,170.0,104.0,119.33333333333333,51.965811965811966,170.0,1.36,3.44,2.08,2.3733333333333335,1.0393162393162392,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,1.9487179487179487,1.9986850756081525,0.0,0.0,1.0,1.0,0.5128205128205128,0.49967126890203817,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.461538461538462,1.4990138067061143,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9743589743589743,0.9993425378040762,0.0,0.0,9.0,9.0,4.615384615384615,4.497041420118343,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,5.589743589743589,3.4976988823142667,9.0,9.105,22.235,13.129999999999999,15.838333333333331,6.5606837606837605,22.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,3.2564102564102564e-06,3.172912557527942e-06,6.35e-06,12.0,194.0,182.0,105.33333333333333,90.94017094017094,194.0,0.0603361215064079,449.7186249219648,4.44234639437391,0.0,False,True
mp-2420244,TiO2,Ti,8.0,22.0,14.0,12.666666666666666,6.222222222222221,8.0,43.0,87.0,44.0,72.33333333333333,19.555555555555557,87.0,15.9994,47.867,31.867599999999996,26.62193333333333,14.163377777777777,15.9994,54.8,1941.0,1886.2,683.5333333333333,838.3111111111111,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,160.0,94.0,97.33333333333333,41.77777777777778,66.0,1.54,3.44,1.9,2.8066666666666666,0.8444444444444444,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.333333333333333,0.888888888888889,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,16.69,7.585000000000001,11.633333333333335,3.371111111111112,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,7.5111111111e-06,1.00148148148e-05,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,0.0164941266666662,204.9469218790116,2.5883829814012427,2.8899,False,False
mp-1071163,TiO,Ti,8.0,22.0,14.0,15.0,7.0,8.0,43.0,87.0,44.0,65.0,22.0,43.0,15.9994,47.867,31.867599999999996,31.9332,15.933799999999998,15.9994,54.8,1941.0,1886.2,997.9,943.1,54.8,4.0,16.0,12.0,10.0,6.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,160.0,94.0,113.0,47.0,66.0,1.54,3.44,1.9,2.49,0.95,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,5.0,3.0,2.0,9.105,16.69,7.585000000000001,12.8975,3.7925000000000004,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.126666666665e-05,1.126666666665e-05,0.0,12.0,194.0,182.0,103.0,91.0,12.0,0.0,61.93779156658514,5.136733957196175,0.0,True,True
mp-1244955,Ti2O,Ti,8.0,22.0,14.0,17.333333333333332,6.222222222222222,22.0,43.0,87.0,44.0,57.666666666666664,19.555555555555554,43.0,15.9994,47.867,31.867599999999996,37.24446666666666,14.163377777777777,47.867,54.8,1941.0,1886.2,1312.2666666666667,838.3111111111111,1941.0,4.0,16.0,12.0,8.0,5.333333333333333,4.0,2.0,4.0,2.0,3.3333333333333335,0.8888888888888888,4.0,66.0,160.0,94.0,128.66666666666666,41.77777777777778,160.0,1.54,3.44,1.9,2.1733333333333333,0.8444444444444444,1.54,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,4.666666666666667,0.888888888888889,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,8.0,8.0,5.333333333333333,3.555555555555556,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,6.0,2.6666666666666665,8.0,9.105,16.69,7.585000000000001,14.161666666666667,3.371111111111112,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.50222222222e-05,1.00148148148e-05,2.25333333333e-05,12.0,194.0,182.0,133.33333333333334,80.88888888888889,194.0,0.3364885647058848,1393.5604093181255,4.526736653775709,0.0,False,True
mp-458,Ti2O3,Ti,8.0,22.0,14.0,13.6,6.719999999999999,8.0,43.0,87.0,44.0,69.4,21.119999999999997,87.0,15.9994,47.867,31.867599999999996,28.746439999999996,15.296447999999998,15.9994,54.8,1941.0,1886.2,809.28,905.376,54.8,4.0,16.0,12.0,11.2,5.76,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,160.0,94.0,103.6,45.12,66.0,1.54,3.44,1.9,2.68,0.9119999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,5.2,0.96,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,8.0,8.0,3.2,3.8400000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.4,2.88,2.0,9.105,16.69,7.585000000000001,12.139000000000001,3.6408,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,9.01333333332e-06,1.0815999999983999e-05,0.0,12.0,194.0,182.0,84.8,87.35999999999999,12.0,0.0,103.7211155286214,4.602205295332797,0.0,True,True
